"subjID","partner_type","block","mean","sd","sem","n"
"24","different","1",1369.68421052632,364.970478658751,83.7299702025875,19
"24","different","2",1098,390.90979853188,92.1383231247199,18
"25","same","1",2024.1,932.314020774832,294.823580015801,10
"25","same","2",1349.46153846154,275.34723997909,76.3675840232382,13
"25","different","1",1915.93333333333,907.926009152309,234.425487535697,15
"25","different","2",1296.30769230769,175.568307986467,48.6938874455122,13
"26","same","1",1574.6,597.506973460003,119.501394692001,25
"26","same","2",1538.79166666667,978.890675566043,199.815222425427,24
"26","different","1",1841.56,769.811398980296,153.962279796059,25
"26","different","2",1847.08695652174,1546.07626276218,322.379186017409,23
"29","same","1",1448.72,609.046284502801,121.80925690056,25
"29","same","2",1173.38461538462,247.96146102539,48.629243399517,26
"29","different","1",1492.70588235294,513.133482232679,124.453149840373,17
"29","different","2",1357.94444444444,290.147522766127,68.3884269641356,18
"30","same","1",1578.11764705882,525.385796623888,127.424772569386,17
"30","same","2",1302.35714285714,336.545712323774,89.9456250359534,14
"30","different","1",1802.16666666667,1058.40864175477,249.469309283747,18
"30","different","2",1370.05263157895,482.004434475245,110.579401064004,19
"31","same","1",1729.11764705882,1025.17820904178,248.642237703577,17
"31","same","2",1385.86666666667,391.564055454289,101.101404383193,15
"31","different","1",1607.125,548.091826248121,137.02295656203,16
"31","different","2",1269.5625,429.539593634859,107.384898408715,16
"32","same","1",1369.72,606.594834575216,121.318966915043,25
"32","same","2",1097.61538461538,150.794184748107,29.573172714112,26
"32","different","1",1574.83333333333,699.1995633664,164.802917553018,18
"32","different","2",1411.72222222222,720.061092633245,169.720027156521,18
"33","same","1",1754.04166666667,963.922127432306,196.759780332264,24
"33","same","2",1509.5652173913,613.283623107239,127.878475323006,23
"33","different","1",2953.19047619048,1583.13046269243,345.467389537074,21
"33","different","2",2189.80952380952,1152.4846037604,251.492758762058,21
"34","same","1",1551,558.689382472011,114.041992647255,24
"34","same","2",1450.82608695652,553.027917442109,115.314292162646,23
"34","different","1",1733.91666666667,696.095128223314,142.089823048696,24
"34","different","2",1333.56,348.489607688187,69.6979215376375,25
